Asin,UserName,Rating,Subject,ReviewDate,Review
8129137429,Nitin,3.0 out of 5 stars,"







  
  
    Three Stars
  
",Reviewed in India on 31 August 2015,"









  
  
    
  nitinsrivastava.net

  
"
8129137429,Nishant Jain,1.0 out of 5 stars,"







  
  
    Bad Choice!!!
  
",Reviewed in India on 19 August 2015,"









  
  
    
  If you want to read something which will inspire you to be more  patriotic, then read Wings of Fire by APJ and not this s***...

  
"
8129137429,Mr. Sahin,1.0 out of 5 stars,"







  
  
    Not Impressed......
  
",Reviewed in India on 19 August 2015,"









  
  
    
  I use to love Chetan bhagat's book..........But this is my first time when i think it is not that great and by other reviews the expression is also same.

  
"
8129137429,Raj Rani,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 21 August 2015,"









  
  
    
  It taught us how to make India great and awesome. I like it.

  
"
8129137429,Abhishek chakraborty,1.0 out of 5 stars,"







  
  
    You can't make internet explorer a cutting edge browser just ...
  
",Reviewed in India on 20 August 2015,"









  
  
    
  You  can't make internet explorer a cutting edge browser just by changing the name to 'edge'. This egregious book is a defeat of humanity.

  
"
8129137429,Vinay Dighade,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in India on 21 August 2016,"









  
  
    
  Good book ....

  
"
8129137429,Vinu Pillai,1.0 out of 5 stars,"







  
  
    I am not enforcing same thought to others or his fans who like him. I respect their choice
  
",Reviewed in India on 19 August 2015,"









  
  
    
  I don't read his books and will never read one in life. I am not sure, but for sure there is no personality enmity against him. It's just that he doesn't have an appeal to represent himself as a writer or author, personally to me. I am not enforcing same thought to others or his fans who like him. I respect their choice. The moment I saw the title, I realized that now Chetan Bhagat will be the only soul savior of India.!!

  
"
8129137429,Sanath Lakhanpaul,1.0 out of 5 stars,"







  
  
    Thanks
  
",Reviewed in India on 20 August 2015,"









  
  
    
  Thank you rates and reviewers your comments have helped a lot now I will never buy this book

  
"
8129137429,Darbha Sailendra,1.0 out of 5 stars,"







  
  
    Chetan Please Stop
  
",Reviewed in India on 19 August 2015,"









  
  
    
  from Judging a dance shoe to posting on fb asking for new book ideas...you clearly have nothing coming out of your brain.... and this book is literally the manifestation of that nothingness that's coming out of your brain...

  
"
8129137429,Shopaholic United,5.0 out of 5 stars,"







  
  
    Looking forward to reading the book.
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Haven't finished reading yet but the themes are very relevant. He's picked the right cords. Hoping for a turn around from CB!

  
"
8129137429,SRIKANTH D.,1.0 out of 5 stars,"







  
  
    One Star
  
",Reviewed in India on 19 August 2015,"









  
  
    
  You stop writing books and writing scripts for Bollywood movies u may win filmfare

  
"
8129137429,Amal Jolly,4.0 out of 5 stars,"







  
  
    Must Read !
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Paperback quality is just OK !Chetan bhagat ! You just found us ways to make India awesome. Very good book. Officials must read.Be the change.I am the change.

  
"
8129137429,Raj Singh Repaswal,1.0 out of 5 stars,"







  
  
    Bogus
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Chetan Bhagat don't know the ground reality. He lives in dreams.  He writes with brain, not with heart.

  
"
8129137429,Teamin,5.0 out of 5 stars,"







  
  
    Must read for all Indians
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Great Book. good thoughts. I like it, Chetan Bhagat giving some good ideas without being biased by any one political party.Must read if you are a true Indian.

  
"
8129137429,Shiva Kumar,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Chetan Bhagat came with another Awesome writing. Long way to Go...

  
"
8129137429,sailesh,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Try and understand India as a nation. Accept there are 2 Indias..When someone tries to highlight our drawbacks as a nation and how we can overcome them, it only makes sense to support.Stop aping the west, try being Indian.-Anisha bhagtaney

  
"
8129137429,Rakesh,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Book is as awesome as the name

  
"
8129137429,Abc,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Good read

  
"
8129137429,Jayaram R,3.0 out of 5 stars,"







  
  
    High hopes
  
",Reviewed in India on 19 August 2015,"









  
  
    
  Cb high hopesFingers crossedHope its better than half girlfriend

  
"
8129137429,Riya Ghosh,5.0 out of 5 stars,"







  
  
    Great
  
",Reviewed in India on 24 March 2020,"









  
  
    
  A must read

  
"
8129137429,Anindya s.,5.0 out of 5 stars,"







  
  
    Good book
  
",Reviewed in India on 9 July 2019,"









  
  
    
  Good book

  
"
8129137429,ksboraji,1.0 out of 5 stars,"







  
  
    fraud chor dont buy any thing
  
",Reviewed in India on 15 November 2019,"









  
  
    
  fraud chor dont buy any thing

  
"
8129137429,Chandrakant Desai,5.0 out of 5 stars,"







  
  
    amazing book
  
",Reviewed in India on 9 October 2019,"









  
  
    
  amazing book

  
"
8129137429,Amazon Customer,5.0 out of 5 stars,"







  
  
    Very good
  
",Reviewed in India on 17 September 2019,"









  
  
    
  Good

  
"
8129137429,Siddharth,5.0 out of 5 stars,"







  
  
    Good work Chetan...
  
",Reviewed in India on 16 October 2015,"









  
  
    
  Marvellous work done again By Chetan Bhagat love this book...

  
"
8129137429,Gaurav,1.0 out of 5 stars,"







  
  
    Not one of the best!
  
",Reviewed in India on 17 August 2019,"









  
  
    
  Not one of the best write by chetan bhagat, expectations were more from him from this book!

  
"
8129137429,S M AHMED,5.0 out of 5 stars,"







  
  
    Five Stars
  
",Reviewed in India on 2 February 2016,"









  
  
    
  Good

  
"
8129137429,compulsive reader,4.0 out of 5 stars,"







  
  
    Making India Awesome
  
",Reviewed in the United Kingdom on 10 February 2018,"









  
  
    
  A good read, I enjoyed it

  
"
8129137429,Amazon Customer,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in the United Kingdom on 25 February 2017,"









  
  
    
  knot bad

  
"
8129137429,Amazon Customer,4.0 out of 5 stars,"







  
  
    Four Stars
  
",Reviewed in the United Kingdom on 19 January 2016,"









  
  
    
  Very good advice to unlock India's potential.

  
"
